LfdArtNr;artnr1;abez1;me;basis_me;anz_basis;anz_ve;ean_me;kn_ja;wgrupnr;sort1;sort2;warennr;gewicht_gr;gewicht;sb_ja;KopfLfdNr;ArtNr;ArtBez;VarTyp;VarBez;VarFarbe;kn_art
62608;1000-T-24;Topschild Sockenwolle Made in Italy;Stück;1;1.00;1.00;4036014206554;NULL;14;99;"            1000-T-24";48239040;200;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62656;762-28;Cotton Fun, HDK;kg;10;20.00;10.00;4036014206783;1;11;99;"               762-28";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62657;762-29;Cotton Fun, HDK;kg;10;20.00;10.00;4036014206813;1;11;99;"               762-29";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62658;762-30;Cotton Fun, HDK;kg;10;20.00;10.00;4036014206844;1;11;99;"               762-30";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62659;762-31;Cotton Fun, HDK;kg;10;20.00;10.00;4036014206875;1;11;99;"               762-31";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62660;762-32;Cotton Fun, HDK;kg;10;20.00;10.00;4036014206905;1;11;99;"               762-32";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62661;762-33;Cotton Fun, HDK;kg;10;20.00;10.00;4036014206936;1;11;99;"               762-33";52071000;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
63051;1000-AF-167;Anleitungsfolder Baby Color 2019 E;Stück;1;1.00;1.00;4036014207421;NULL;4;99;"          1000-AF-167";49119900;10;0;NULL;1756;1000-A;Anleitungen;Anleitung;AF-167;NULL;[leer]
63052;1000-AF-168;Anleitungsfolder Perla color 2019 D,F,;Stück;1;1.00;1.00;4036014207438;NULL;4;99;"          1000-AF-168";49119900;10;0;NULL;1756;1000-A;Anleitungen;Anleitung;AF-168;NULL;[leer]
63062;1219-GL-888;Häkelnadel VE 20 10,00 - 12,00 mm , Globus;SORT;1;20.00;20.00;NULL;NULL;11;99;"          1219-GL-888";76169990;30;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
63202;4692-0;Hot Socks Torbole, 4-fach;kg;10;10.00;10.00;NULL;1;15;99;"               4692-0";51099000;NULL;1;NULL;1672;4692-;Hot Socks Torbole, 4-fach;Farbe;0;NULL;Längsknäuel
63203;4692-01;Hot Socks Torbole, 4-fach;kg;10;10.00;10.00;4036014208039;1;15;99;"              4692-01";51099000;NULL;1;NULL;1672;4692-;Hot Socks Torbole, 4-fach;Farbe;01;jeans-marine-schiefergrau-weiß-burgund-petrol;Längsknäuel
63204;4692-02;Hot Socks Torbole, 4-fach;kg;10;10.00;10.00;4036014208060;1;15;99;"              4692-02";51099000;NULL;1;NULL;1672;4692-;Hot Socks Torbole, 4-fach;Farbe;02;beige-chili-pflaume-weiß-salatgrün-schiefergrau;Längsknäuel
63205;4692-03;Hot Socks Torbole, 4-fach;kg;10;10.00;10.00;4036014208091;1;15;99;"              4692-03";51099000;NULL;1;NULL;1672;4692-;Hot Socks Torbole, 4-fach;Farbe;03;capriblau-royal-burgund-weiß-petrol-graphit;Längsknäuel
63206;4692-04;Hot Socks Torbole, 4-fach;kg;10;10.00;10.00;4036014208121;1;15;99;"              4692-04";51099000;NULL;1;NULL;1672;4692-;Hot Socks Torbole, 4-fach;Farbe;04;lavendel-chili-pflaume-weiß-salatgrün-gelb;Längsknäuel
